Repeat,Generation,X1,X2,F(x)
26,10,-7.087663080796520631565726944245398044586181640625,-1.4113069352254523636247540707699954509735107421875,186.245906171944426432673935778439044952392578125,
26,20,-7.087663080796520631565726944245398044586181640625,-1.4232089723048755303125290083698928356170654296875,186.68411631753343726813909597694873809814453125,
26,30,-7.082780193789577793950229533948004245758056640625,-1.4232089723048755303125290083698928356170654296875,186.72115170951173013236257247626781463623046875,
26,40,-7.084000915541313503354103886522352695465087890625,-1.4250400549324790944183405372314155101776123046875,186.73035020390733507156255654990673065185546875,
26,50,-7.083390554665445648652166710235178470611572265625,-1.4250400549324790944183405372314155101776123046875,186.730860968641053432293119840323925018310546875,
Repeat,Generation,X1,X2,F(x)
27,0,6.2224765392538330388561007566750049591064453125,-7.23048752574959951999744589556939899921417236328125,69.985525126479359414588543586432933807373046875,
27,10,-7.75906004425116346823187996051274240016937255859375,-7.076676585030899246930857771076261997222900390625,180.757579446964200542424805462360382080078125,
27,20,-7.73495078965438320750536149716936051845550537109375,-7.077897306782634956334732123650610446929931640625,185.024441981597050244090496562421321868896484375,
27,30,-7.71541924162661185704337185597978532314300537109375,-7.087663080796520631565726944245398044586181640625,186.57532491156695186873548664152622222900390625,
27,40,-7.71511406118867792969240326783619821071624755859375,-0.798504615854124466522989678196609020233154296875,186.616075379790544275238062255084514617919921875,
27,50,-7.71511406118867792969240326783619821071624755859375,-0.798504615854124466522989678196609020233154296875,186.616075379790544275238062255084514617919921875,
Repeat,Generation,X1,X2,F(x)
28,0,-0.804303044174869086191392852924764156341552734375,-1.4738689250019074705733146402053534984588623046875,181.27248540780254870696808211505413055419921875,
28,10,-0.805828946364538722946235793642699718475341796875,-7.70901045242999938267303150496445596218109130859375,186.662691931708224046815303154289722442626953125,
28,20,-0.800946059357595885330738383345305919647216796875,-7.70901045242999938267303150496445596218109130859375,186.72891455150465844781138002872467041015625,
28,30,-0.800946059357595885330738383345305919647216796875,-7.70778973067826367326915715239010751247406005859375,186.729405595427209618719643913209438323974609375,
