Repeat,Generation,X1,X2,F(x)
19,10,5.5294117647058822484495976823382079601287841796875,-1.372549019607841813694903976283967494964599609375,175.661658982242755655533983372151851654052734375,
19,20,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
19,30,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
19,40,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
19,50,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
20,0,-0.823529411764706509302413905970752239227294921875,-7.4901960784313725838501341058872640132904052734375,80.8482549443234717045925208367407321929931640625,
20,10,-0.6666666666666660745477201999165117740631103515625,-1.4509803921568629192506705294363200664520263671875,148.3862232317684402005397714674472808837890625,
20,20,-0.823529411764706509302413905970752239227294921875,-1.372549019607841813694903976283967494964599609375,179.07735302165070834234938956797122955322265625,
20,30,-0.823529411764706509302413905970752239227294921875,-1.4509803921568629192506705294363200664520263671875,184.005035512563239308292395435273647308349609375,
20,40,-0.823529411764706509302413905970752239227294921875,-1.4509803921568629192506705294363200664520263671875,184.005035512563239308292395435273647308349609375,
20,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
21,0,4.901960784313725838501341058872640132904052734375,-3.098039215686274161498658941127359867095947265625,38.1336314539570366832776926457881927490234375,
21,10,-7.6470588235294112422479884116910398006439208984375,-7.019607843137254832299731788225471973419189453125,169.468566918068660243079648353159427642822265625,
21,20,-7.6470588235294112422479884116910398006439208984375,-7.098039215686274161498658941127359867095947265625,177.45857599542745219878270290791988372802734375,
21,30,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
21,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
21,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
22,0,-0.823529411764706509302413905970752239227294921875,4.901960784313725838501341058872640132904052734375,181.036095058876213670373545028269290924072265625,
22,10,-0.823529411764706509302413905970752239227294921875,4.901960784313725838501341058872640132904052734375,181.036095058876213670373545028269290924072265625,
22,20,-0.823529411764706509302413905970752239227294921875,4.823529411764706509302413905970752239227294921875,182.814007886989173812253284268081188201904296875,
22,30,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
22,40,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
